X,Y,Z
0.2908687,5.0446854,9.144881
2.8968132,-0.33730257,2.1710882
-3.6343403,2.6204305,2.7563112
0.04854177,2.6185493,8.033055
-3.9649384,-1.0828276,0.8693218
-1.3928527,-3.2605011,8.2389345
1.0646286,-3.9514217,0.47438157
-1.3230013,3.1068597,7.861192
1.8093697,1.407205,8.4958105
3.2587771,-0.74506795,4.7934237
-3.5552645,3.0757403,3.7571745
0.14236271,4.142724,9.818964
5.1667624,-3.8798456,-0.49784094
-0.71682817,-3.6079655,1.3780876
-3.232793,5.8608513,9.385828
3.2732346,-1.2037146,4.335372
4.0548534,-1.3539621,1.9102657
3.071566,-4.2360196,0.7761641
-0.2688185,-3.453573,0.15472865
-2.4346054,-4.312057,-0.88492334
0.9394117,1.6507709,9.827354
-1.0044403,-2.538966,0.7137285
-0.23107296,-3.9636636,1.0234625
-4.2823963,1.4218731,3.8800306
-2.2232814,-2.6127386,7.9030695
-1.0976387,-2.5200777,8.945779
-4.1553097,2.5565364,5.2008095
-1.4891362,-3.662058,-1.1174835
-1.0961022,-4.101434,1.5833583
-3.2924435,4.9480352,9.784453
4.4882045,-1.2405734,1.106321
2.0927324,0.44998017,1.8593302
-3.3424253,4.5827117,6.974909
-3.2496364,-1.4682448,-0.06641491
0.103793144,2.0608425,7.644025
-4.7089586,-0.85431826,1.6037894
-4.3026476,-0.39685887,2.8004036
-3.5248842,-0.13886108,0.73549
-2.5257041,-1.176506,8.514266
-0.6064001,5.833507,9.516546
-4.007992,0.6424934,1.3276874
3.7978199,-4.5022683,0.6088405
-3.4724317,-0.43385166,2.4511685
-0.5766236,-2.5006173,0.3390599
-0.6566364,3.2402534,5.2078843
5.1304846,-1.4333524,1.5389801
4.4930444,-3.820345,0.3219062
4.9830313,-3.966105,1.5260746
-1.1403946,3.0386114,8.70366
3.015417,0.13747858,2.659879
-4.1837482,-0.23263153,0.7046811
2.624749,0.26777846,2.1952193
-2.8123608,-2.506137,7.7383676
-1.8976694,-4.6322694,-0.9301127
5.610492,-1.5702679,1.8358542
-1.1624904,2.3933635,9.533208
2.5009568,-4.070565,-0.5700027
-4.810338,1.745322,3.5310748
-0.8321909,-5.04899,-0.40288773
4.710992,-2.8467386,2.2855957
3.2117488,-4.0566907,0.1450589
-4.582589,1.0685546,3.3571525
4.6102242,-3.2302139,-0.07108335
5.7517643,-1.4540832,1.1584532
4.8828497,-2.0913858,2.3496192
-0.8441139,3.9478757,9.16607
-2.4143066,-1.1881489,7.2042685
-2.6578348,-1.6620516,-0.025306843
-0.26703772,2.6838076,8.509885
-1.1652136,-4.078686,0.17357539
5.2637625,-1.8649389,1.0715594
-0.95442533,4.2971725,9.864456
4.2117257,-2.414608,2.3187432
-0.48498818,3.580614,4.544844
5.0231194,-1.7234596,0.53896815
-1.3011956,5.3158293,9.683507
-2.6154084,-3.2913737,-0.5562538
-0.7151023,5.4618773,7.798948
-1.1975968,3.9682546,8.188968
1.1251469,0.6640189,2.6889594
-3.3160746,1.438865,4.169368
2.2100267,0.7319865,4.489793
-3.4739823,-0.83365136,-0.6863776
-3.59568,3.5075438,6.3107343
-3.9762518,0.19680206,3.3805354
-3.805531,1.0693696,3.9322548
1.5788896,-4.2660613,0.258019
5.237029,-3.222762,-0.62818116
3.44024,-4.817193,0.92963725
-3.0279465,5.573159,7.8205404
-0.93829983,-3.4171448,-0.08151163
-0.97665614,6.57384,10.3252125
-0.85893893,3.3961265,9.141768
2.3055165,-3.3866885,0.6866965
